skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	* Marco / counter	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
thundergod	3	1	3	3	0	lc2	60	SkillnameMeBeWotan	SkillsdMeBeWotan	SkillsdMeBeWotan	SkillnameMeBeWotan	StrSkill3	5												1				1					12	StrSkill20		(ln56*(100+stat('profession_duration_mod'.accr)))/100		12	DescStunDur		ln12		11					10					9										18	DescWotanSaysHi				18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-90)/6)),15)),2)+stat('skill_more'.accr)"	18	DescLCHeeeeelp				18	DescToUnlock				18	DescLCLocked				18	DescLevel30				18	DescReferToSite														0
lifeshield	3	1	3	3	0	new skill	76	SkillnameShieldLife	SkillsdShieldLife	SkillsdShieldLife	SkillnameShieldLife																		1					3	DescACBonus	StrSkill23	ln12		18	DescWhenEatBerry																																		73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-90)/6)),15)),2)+stat('skill_more'.accr)"	18	DescLCHeeeeelp				18	DescToUnlock				18	DescLCLocked				18	DescLevel30				18	DescReferToSite														0
graveyard	3	1	3	3	0	lc2	68	SkillnameGraveyard	SkillsdGraveyard	SkillsdGraveyard	SkillnameGraveyard	StrSkill3	5																1					14																									18	DescAttRateGrave				12	StrSkill20		(par5*(100+stat('profession_duration_mod'.accr)))/100		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-90)/6)),15)),2)+stat('skill_more'.accr)"	18	DescLCHeeeeelp				18	DescToUnlock				18	DescLCLocked				18	DescLevel30				18	DescReferToSite														0
blessedlife	3	1	3	3	0	new skill	8	SkillnameBlessedLife	SkillsdBlessedLife	SkillsdBlessedLife	SkillnameBlessedLife																							3	DescBlank	DescFasterPotz	((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3		5	DescDmgRedBy		edmx																						2	DescDamageReduc	StrSkill23	"min((par1+((blvl-1)*par2)),50)"		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-90)/6)),15)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameBlessedLife	4		63	DescSelf	DescDmgRedSyn	par2		18	DescSelfSynergy	DescMaxLvlSyn			18	DescBlank				18	DescLCHeeeeelp				18	DescStuffed									0
forceshout	3	1	3	3	0	new skill	116	SkillnameForceShout	SkillsdForceShout	SkillsdForceShout	SkillanForceShout	StrSkill3																	1					12	StrSkill20		(ln12*(100+stat('profession_duration_mod'.accr)))/100		10					11					9										3	DescForceEnemyCast	StrSkill23	(-1)*(10+5*(blvl-1))		3	DescEnemyDamage	StrSkill23	-33		18	DescBlank				73	DescMaxLevel2	ModStre9c	blvl	"max((min((2+((ulvl-90)/6)),15)),2)+stat('skill_more'.accr)"	40	SksynSelf	SkillnameForceShout	4		65	DescSelf	DescWeakeningSyn			18	DescSelfSynergy	DescMaxLvlSyn			18	DescBlank				18	DescLCHeeeeelp				18	DescStuffed									0
goldencalf	0	0	0	0	0		0	SkillnameMooooo	SkillsdMooooo	SkillsdMooooo	SkillanMooooo	StrSkill3																	1					4	DescLionSkBlind		1*lvl		3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100																						18	DescTeleportStruck				18	DescBlank				18	DescItemSkill																																							0
bloodspeakers mark	0	0	0	0	0		0	SkillnameSplotch	SkillsdSplotch	SkillsdSplotch	SkillnamePwn	StrSkill3	5												1				1					3	DescBloodSumm	DescBlank	clc1																											18	DescBloodBabble				18	DescBlank				18	DescItemSkill																																							0
bladesoflight	0	0	0	0	0		0	SkillnameBladesOfLight	SkillsdBladesOfLight	SkillsdBladesOfLight	SkillanBoL	StrSkill3																	1					12	StrSkill20		(dm12*(100+stat('profession_duration_mod'.accr)))/100		5	DescThornsDmg		ln34																	18	DescBlankBenecast				18	DescItemSkill				18	DescBlank				18	DescReflectNoKillsC																																							0
championsofthesun	0	0	0	0	0		0	SkillnameChimps	SkillsdChimps	SkillsdChimps	SkillanChimps	StrSkill3																	1					2	DescElemResAura	StrSkill23	((110*lvl)*(100-10))/(100*(lvl+6))+10		3	DescPDRAura	StrSkill23	((110*lvl)*(25-5))/(100*(lvl+6))+5		35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((501+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100		5	DescChampions		lvl							5	StrSkill22		(5000*(100+stat('item_minion_attack'.accr)))/100		18	DescBlank				18	DescItemSkill																																							0
lightningshield	0	0	0	0	0		0	SkillnameLightningSh	SkillsdLightningSh	SkillsdLightningSh	SkillnameLightningSh	StrSkill3																	1					12	StrSkill20		(ln78*(100+stat('profession_duration_mod'.accr)))/100		3	DescAttackTakes	DescLtngDmg	edmx																						18	DescItemSkill				18	DescBlank				18	DescReflectNoKills				40	Sksyn	SkillnameLightningSh	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
summonoverlord	0	0	0	0	0	new skill	0	SkillnameSOvr	SkillsdSOvr	SkillsdSOvr	SkillanSOvr	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((6+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100		5	StrSkill22		(200*(100+((((lvl-1)*50)*(100+stat('item_minion_attack'.accr)))/100))/100)																	3	DescAuraAdds	DescPets	4		18	DescBlank				18	DescItemSkill																																							0
lichetotem	0	0	0	0	0	new skill	0	SkillnameShadowTotem	SkillsdShadowTotem	SkillsdShadowTotem	SkillanSWT	StrSkill3																	1					2	DescAllKingsT	StrSkill23	ln34		3	DescPainless	DescHitPointz	((5+ln12)*(100+clc1))/100																						5	DescYouCanHave		4+stat('new_totem_syn'.accr)		18	DescBlank				18	DescItemSkill																																							0
bloodymary	0	0	0	0	0		0	SkillnameBloodyMary	SkillsdBloodyMary	SkillsdBloodyMary	SkillnameBloodyMary	StrSkill3																	1					12	StrSkill20		(par1*(100+stat('profession_duration_mod'.accr)))/100		18	DescHealUsed				3	DescAlcohol	StrSkill23	dm34																											18	DescItemSkill																																							0
paganheart	0	0	0	0	0		0	SkillnamePaganHeart	SkillsdPaganHeart	SkillsdPaganHeart	SkillnamePaganHeart	StrSkill3																	1					12	StrSkill20		(ln12*(100+stat('profession_duration_mod'.accr)))/100		18	DescManaUsed				3	DescPaganism	StrSkill23	dm34																											18	DescItemSkill																																							0
mercforkedlightning	0	0	0	0	0		0	SkillnameFork	SkillsdFork	SkillsdFork	SkillanFork	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnameSupernova	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
cherubstrike	0	0	0	0	0		0	SkillnameAngelic	SkillsdAngelicS	SkillsdAngelicS	SkillnameAngelic	StrSkill3	7	clc1											1				1					19	DescTargetComp		ln56		12	StrSkill48		ln12																											18	DescWDS				18	DescItemSkill																																							0
supernova	0	0	0	0	0		0	SkillnameSupernova	SkillsdSupernova	SkillsdSupernova	SkillnameSupernova	StrSkill3	5																1					18	DescMultiHits				10																														18	DescItemSkill				18	DescSupernovaMelee				40	Sksyn	SkillnameSupernova	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
shadowform	0	0	0	0	0		0	SkillnameShadowform	SkillsdShadowform	SkillsdShadowform	SkillnameShadowform	StrSkill3																	1					12	StrSkill20		(ln12*(100+stat('profession_duration_mod'.accr)))/100		2	StrSkill88	StrSkill23	ln78																											18	DescBlankBenecast				18	DescItemSkill																																							0
darkpower	0	0	0	0	0		0	SkillnameDarkPower	SkillsdDarkPower	SkillsdDarkPower	SkillnameDarkPower	StrSkill3																						12	StrSkill20		((par8+((lvl-1)*25))*(100+stat('profession_duration_mod'.accr)))/100		2	StrSkill106	StrSkill23	((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3		35	DescMDtoWPN		edmn	edmx	2	StrSkill4	StrSkill23	dm12												3	DescCBlow	StrSkill23	25		18	DescBlank				18	DescItemSkill																																							0
conquest	0	0	0	0	0		0	SkillnameConquest	SkillsdConquest	SkillsdConquest	SkillnameConquest	StrSkill3	7	clc1											1				1					12	StrSkill20		"min((((((220*lvl) * (par8-par7))/(100 * (lvl+50)) + par7)*(100+stat('profession_duration_mod'.accr)))/100),par3)"		2	StrSkill70	StrSkill23	ln12																						12	DescDelayZ		250		18	DescBlank				18	DescItemSkill																																							0
hamstring	0	0	0	0	0		0	SkillnameHamRadio	SkillsdHamRadio	SkillsdHamRadio	SkillnameHamRadio	StrSkill3	5												1				1					12	StrSkill20		(dm78*(100+stat('profession_duration_mod'.accr)))/100		12	DescStunDur		((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1																																18	DescItemSkill																																							0
cautiousstrike	0	0	0	0	0		0	SkillnameCautious	SkillsdCautious	SkillsdCautious	SkillnameCautious	StrSkill3	7	clc1											1				1					12	StrSkill20		(dm78*(100+stat('profession_duration_mod'.accr)))/100		18	DescScalingBonus				2	DescDamageReduc	StrSkill23	((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1		3	DescACBonus	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln56																	18	DescItemSkill																																							0
timestrike	0	0	0	0	0		0	SkillnameTimeStrike	SkillsdTimeStrike	SkillsdTimeStrike	SkillnameTimeStrike	StrSkill3	5												1				1																														12	DescTimeBomb		25		73	WeapDamsk		3	2	18	DescBlank				18	DescItemSkill																																							0
sunspear	0	0	0	0	0	new skill	0	SkillnameSunspear	SkillsdSunspear	SkillsdSunspear	SkillnameSunspear	StrSkill3	3												1				1					12	StrSkill48		"min(ln12,250)"																						18	DescBetaPierce				7	DescTimesWeapn		2		18	DescBlank				18	DescItemSkill																																							0
deathcoil	0	0	0	0	0		0	SkillnameDeathCoil	SkillsdDeathCoil	SkillsdDeathCoil	SkillnameDeathCoil	StrSkill3	5																1					18	DescDeathFeedbackCap				38	DescFeedback	DescDeathCoilLost	100+((lvl-1)*2)	150+((lvl-1)*2)	12	DescDelayZ		280-dm12												18	DescBetaPierce				38	DescSteals	DescFixedHP	50	100	18	DescBlank				18	DescItemSkill																																							0
shadowblade	0	0	0	0	0	new skill	0	SkillnameShadowBlade	SkillsdShadowBlade	SkillsdShadowBlade	SkillnameShadowBlade	StrSkill3	3												1				1					10					9																									12	StrSkill48		25		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameShadowBlade	4		65	strchrenghard	DescMagSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"							25	SkillnamePreMed														0
ua2	0	0	0	0	0		0	SkillnameUnholyArmor	SkillsdUnholyArmor	SkillsdUnholyArmor	SkillnameUnholyArmor	StrSkill3																	1					12	StrSkill20		"min((((((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1)*(100+stat('profession_duration_mod'.accr)))/100),par3)"																											12	DescDelayZ		par5		18	DescBlankBenecast				18	DescItemSkill																																							0
nightmare	0	0	0	0	0		0	SkillnameNightmare	SkillsdNightmare	SkillsdNightmare	SkillnameNightmare	StrSkill3																	1					19	StrSkill18		ln56		2	StrSkill70	StrSkill23	"(-1)*(min((((220*lvl) * (par8-par7))/(100 * (lvl+50)) + par7),75))"																	12	StrSkill20		(par3*(100+stat('profession_duration_mod'.accr)))/100		18	DescBlank				18	DescItemSkill				18	DescNMRegenBlock																																							0
vanquish	0	0	0	0	0		0	SkillnameVanquish	SkillsdVanquish	SkillsdVanquish	SkillnameVanquish	StrSkill3																	1					2	StrSkill75	StrSkill23	stat('passive_vanquish_addelem'.accr)		2	StrSkill4	StrSkill23	dm12																	12	StrSkill20		(par7*(100+stat('profession_duration_mod'.accr)))/100		12	DescDelayZ		250		18	DescBeneBlank				18	DescItemSkill																																							0
doomserpents	0	0	0	0	0		0	SkillnameDoomS	SkillsdDoomS	SkillsdDoomS	SkillnameDoomS	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnameDoomS	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
glacialnova	0	0	0	0	0		0	SkillnameGlacNova	SkillsdGlacNova	SkillsdGlacNova	SkillnameGlacNova	StrSkill3	5																1					12	StrSkill62		edln		10																									12	DescDelayZ		par4		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameGlacNova	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
frozencrown	0	0	0	0	0		0	SkillnameFrozenCrown	SkillsdFrozenCrown	SkillsdFrozenCrown	SkillnameFrozenCrown	StrSkill3	5																1					10																														18	DescScattered				18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameFrozenCrown	4		65	strchrenghard	DescColdSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
lcold	0	0	0	0	0		0	SkillnameLightCascade	SkillsdLightCascade	SkillsdLightCascade	SkillanLightCascade	StrSkill3	5																1					38	DescTotalLC	DescTotalLC2	(((edmn*(8+((lvl-1)*1)))/2)*(100+(stat('passive_ltng_mastery'.accr))))/100	(((edmx*(8+((lvl-1)*1)))/2)*(100+(stat('passive_ltng_mastery'.accr))))/100	3	DescBoltLength	StrSkill27	8+((lvl-1)*1)		3	StrSkill72	StrSkill27	"min(ln56,par7)"		10																									18	DescItemSkill				40	Sksyn	SkillnameLightCascade	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
vortex	0	0	0	0	0		0	SkillnameVortex	SkillsdVortex	SkillsdVortex	SkillnameVortex	StrSkill3	5																1					38	DescTotalLC	DescTotalLC2	(((edmn*(10+((lvl-1)*1)))/2)*(100+(stat('passive_ltng_mastery'.accr))))/100	(((edmx*(10+((lvl-1)*1)))/2)*(100+(stat('passive_ltng_mastery'.accr))))/100	12	StrSkill20		100+((lvl-1)*10)		10																				3	DescBoltLength	StrSkill27	10		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnameVortex	4		65	strchrenghard	DescLtngSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
manacoil	0	0	0	0	0		0	SkillnameManaCoil	SkillsdManaCoil	SkillsdManaCoil	SkillnameManaCoil	StrSkill3	5																1					18	DescFeedbackCap				38	DescFeedback	DescManaSweepLost	100+((lvl-1)*2)	150+((lvl-1)*2)	12	DescDelayZ		280-dm12												18	DescBetaPierce				38	DescSteals	DescFixedMP	50	100	18	DescBlank				18	DescItemSkill																																							0
painspirit	0	0	0	0	0		0	SkillnamePainSpirit	SkillsdPainSpirit	SkillsdPainSpirit	SkillnamePainSpirit	StrSkill3	5																1					10																																			18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnamePainSpirit	4		65	strchrenghard	DescMagSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
pet corpse on death	0	0	0	0	0		0	SkillnamePetCorpse	SkillsdPetCorpse	SkillsdPetCorpse	SkillnamePetCorpse	StrSkill3																	1																																													18	DescItemSkill																																							0
deathshards	0	0	0	0	0		0	SkillnameDeathMetal	SkillsdDeathMetal	SkillsdDeathMetal	SkillnameDeathMetal	StrSkill3	5												1				1					12	StrSkill20		6+((lvl-1)*3)		7	DescSpikes		22+((lvl-1)*3)																						73	WeapDamsk		1	2	18	DescBlank				18	DescItemSkill																																							0
psionicstorm	0	0	0	0	0		0	SkillnamePsiStorm	SkillsdSecret	SkillsdSecret	SkillnamePsiStorm	StrSkill3	5																1					10																																								18	DescItemSkill				40	Sksyn	SkillnamePsiStorm	4		65	strchrenghard	DescMagSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																						0
bladebarrier	0	0	0	0	0		0	SkillnameBladez	SkillsdBladez	SkillsdBladez	SkillnameBladez	StrSkill3	5												1				1					3	DescLegionWidth	StrSkill26	(12*(5+((lvl-1)*2)))/16																						12	StrSkill20		250		12	DescDelayZ		75		18	DescBlankThreeFour				18	DescItemSkill																																							0
summonthunderbear	0	0	0	0	0	1.B9 REMOVED COMMAND REF	0	SkillnameSummonThB	SkillsdTB2	SkillsdTB2	SkillanSTB	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((501+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100		5	StrSkill22		(200*(100+((((lvl-1)*50)*(100+stat('item_minion_attack'.accr)))/100))/100)												12	DescDelayZ		250		18	DescShower2				18	DescBlank				18	DescItemSkill																																							0
q2	0	0	0	0	0	new skill	0	SkillnameQuakeState	SkillsdQuakeState	SkillsdQuakeState	SkillnameQuakeState	StrSkill3	5												1				1					7	DescWaveFragments		clc1																											73	WeapDamsk		3	2	18	DescBlank				18	DescItemSkill																																							0
summonshockbeast	0	0	0	0	0	new skill	0	SkillnamePikaPika	SkillsdPikaPika	SkillsdPikaPika	SkillanSSBZ	StrSkill3																	1					35	DescSummonDmg		((1+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	((2+pst3)*(100+((stat('skill_minion_dmg_percent'.accr)*(100-stat('deathlord_penalty'.accr)))/100)))/100	3	DescPainless	DescHitPointz	((1+(pst1/256))*(100+clc1))/100		5	StrSkill22		(100*(100+((((lvl-1)*50)*(100+stat('item_minion_attack'.accr)))/100))/100)		5	DescShockBeastsNr		"min((2+(lvl-1)),15)"																						18	DescItemSkill																																							0
shatteringwarpblade	0	0	0	0	0		0	SkillnameCrashzor	SkillnameCrashzor	SkillnameCrashzor	SkillnameCrashzor																																																																																																							0
pyroclasticflow	0	0	0	0	0		0	SkillnamePyro6	SkillsdPyro6	SkillsdPyro6	SkillanP6	StrSkill3	5																1					10					9																									12	DescDelayZ		750		18	DescBlank				18	DescItemSkill				40	Sksyn	SkillnamePyro6	4		65	strchrenghard	DescFireSyn			65	strchrenghard	DescPhysSyn			67	DescCurrentSyn	DescPctNoS	"(((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(min(((stat('energy'.accr)*stat('enr_factor'.accr)/15000)+(stat('strength'.accr)*stat('str_factor'.accr)/15000)),200))"																	0
summonedyrem	0	0	0	0	0		4	SkillnameSummonEdyrem	SkillsdSummonEdyrem	SkillsdSummonEdyrem	SkillnameSummonEdyrem																		1																																																																																					0
summontorajappl	0	0	0	0	0		8	SkillnameSummonTorajaPpl	SkillsdSummonTorajaPpl	SkillsdSummonTorajaPpl	SkillnameSummonTorajians																		1																																																																																					0
