skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	AuraStatParam1	aurastatcalc1	aurastat2	AuraStatParam2	aurastatcalc2	aurastat3	AuraStatParam3	aurastatcalc3	aurastat4	AuraStatParam4	aurastatcalc4	aurastat5	AuraStatParam5	aurastatcalc5	aurastat6	AuraStatParam6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	StaticDamage	BaseSynergy	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	DelayGroup	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	PassiveStatParam1	passivecalc1	passivestat2	PassiveStatParam2	passivecalc2	passivestat3	PassiveStatParam3	passivecalc3	passivestat4	PassiveStatParam4	passivecalc4	passivestat5	PassiveStatParam5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Unused715	715			Unused																																																																																																																																																																																																																																																																									0
Unused716	716			Unused																																																																																																																																																																																																																																																																									0
Unused717	717			Unused																																																																																																																																																																																																																																																																									0
Unused718	718			Unused																																																																																																																																																																																																																																																																									0
Unused719	719			Unused																																																																																																																																																																																																																																																																									0
Mon Wave of Spiders	720			Monster		17				carpetofspidersboltM	carpetofspidersboltM	carpetofspidersboltM		23			carpetofspidersboltM																													40	# bolts																						1			1														pois	20	4	2	2	2	2	80	16	8	8	8	8		15				stat('skill_poison_dur'.accr)		0		necromancer_poison_cast	necromancer_poison_cast	sandmaggotmama_goo_hit_1																																							none								SC	SC	xx				0	0	0		1	99		1	1		0									1															1																																																																			1					0
Spawn Broodling	721			Monster			broodspawner									broodspawner																																																					8																																					0		paladin_aura_resistlightning	paladin_aura_resistlightning																																								none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Death Metal Death	722			Monster		8				deathmetal2M				17			deathmetal2M	deathmetal2M																												1	number of missiles	0	activation frame																				4	64																																				0																																											none								SC	SC	xx				0	0	0		1	99		1	1		1									1															1																																																																			1					0
Targeted Wrath	723			oSkill		28				wrathcenterX	wrathcenterX	wrathcenterX		28			wrathcenterX																																										1	synergy	6	bolts	5	levels per bolt					3			1	168	28	14	14	14	14	192	32	16	16	16	16		fire	168	28	14	14	14	14	192	32	16	16	16	16								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx				0	0	0		1	99		1	1		1									1															1																																																																			1					0
Targeted Holy Trap	724			Monster		28				holymine	holymine	holymine		28			holymine																																										1	synergy									1			1														fire	16	4	2	2	2	2	48	12	6	6	6	6								0		paladin_aura_prayer	paladin_aura_prayer		suncast2																																						none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Summon Darkwarden	725		calldarkwarden	Monster			darkwardenspawner									darkwardenspawner																																																					8																																					0		sorceress_cast_fire	sorceress_cast_fire		minimushroomcast	minimushroomcast																																					none								SC	SC	xx				0	0	0		1	99		1	1		2					1				1															1																																																																			1					0
Unused726	726			Unused																																																																																																																																																																																																																																																																									0
Mon Pantheress Aura	727			Monster		66															1	42369	pantherstaunt	pantherstaunt		15	25	velocitypercent		-50																																							8																																					0																																											none		mele								xx	5			0	0	0		1	99			1		6	1																							1																																																									1										1					0
Kabraxis Summons Magic	728			UQ - Kabraxis		8	kab_magic_spawnstarter							17		kab_magic_spawnstarter																														1	# missiles	0	activation frame																				8																																					0																																											none								SC	SC	xx			0	0	0	0						1		1					1				1															1																																																																			1					0
Mon Red Death	729			Monster		8				reddeathcenterpwn				17			reddeathcenterpwn	reddeathcenterpwn				42371				30																				1	number of missiles																						5			1														ltng	16						72	12	6	6	6	6								0		lightningorb_attack_1	necromancer_corpseexp_1																																								none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Mon Plague Cloud	730			Monster		28				evilcloudcontrol	evilcloudcontrol	evilcloudcontrol		28			evilcloudcontrol																																																				1			1														pois	32	16	8	8	8	8	80	40	20	20	20	20		24				stat('skill_poison_dur'.accr)		0		sorceress_fireball_impact_1	sorceress_fireball_impact_1																																								none								SC	SC	xx				0	0	0		1	99			1		4									1						4		1							1																																																																			1					0
Mon Multi Pain Spirit	731			Monster		18	barbonenova									barbonenova																																																					5			1														mag	32	16	8	8	8	8	64	32	16	16	16	16								0		monster_cast_fire	monster_cast_fire																																								none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
Unused732	732			Unused																																																																																																																																																																																																																																																																									0
Mon Fire Prince	733		fireprince	oSkill			frogfireburst									frogfireburst																																																					3			1														fire	16	8	4	4	4	4	33	16	7	7	7	7								0		necromancer_corpse_cast	necromancer_corpse_cast		mooncast																																						none								SC	SC	xx				0	0	0		1	99			1		2									1															1																																																																			1					0
Black Curse	734			UQ - The Void		30							18	30			curseamplifydamage		cursecast			3		eatsyou	75	par5		item_strength_percent		(-50)*lvl	item_dexterity_percent		(-50)*lvl	item_energy_percent		(-50)*lvl	item_vitality_percent		(-50)*lvl																						4	radius							8																																					0		necromancer_curse_cast	necromancer_curse_cast																																								none								SC	SC	xx				0	0	0		1	99			1		3									1						4									1																																																																			1					0
Fire Throw	735			Monster		43				firethrowbomb				5			firethrowbomb									(par1/4)+3																											8	fire bombs															5			1														fire	80	8	4	4	4	4	240	24	12	12	12	12								0		monster_cast_fire	monster_cast_fire																																								rng								SC	SC	xx				0	0	0		1	99		1	1		0									1															1					par1											weapon_throw_1																																							11												1					0
Ring of Fire	736			Monster		22				ringoffiremaker	ringoffiremaker	ringoffiremaker		25			ringoffiremaker																																																				1			1														fire	12	4	2	2	2	2	24	8	4	4	4	4								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2	fire_cast_2																																					none								SC	SC	xx				0	0	0		1	99		1	1		6									36	10														1																																																																			1					0
Unused737	737			Unused																																																																																																																																																																																																																																																																									0
Totemic Aura Deaths Fury	738			Summon Skill		65															1	73734	totemicslow	totemicslow		60	50	firemindam		(skill('Rathmas Chosen'.blvl)==0) ? ((edmx*(100+(stat('item_desc_breaker'.accr)*15)))/100) : ((edmx*(100+(stat('item_desc_breaker'.accr)*15))*(120+(skill('Rathmas Chosen'.blvl)*8)))/10000)	firemaxdam		(skill('Rathmas Chosen'.blvl)==0) ? (((edmx*(100+(stat('item_desc_breaker'.accr)*15)))/100)+2) : (((edmx*(100+(stat('item_desc_breaker'.accr)*15))*(120+(skill('Rathmas Chosen'.blvl)*8)))/10000)+2)	coldmindam		(skill('Rathmas Chosen'.blvl)==0) ? ((edmx*(100+(stat('item_desc_breaker'.accr)*15)))/100) : ((edmx*(100+(stat('item_desc_breaker'.accr)*15))*(120+(skill('Rathmas Chosen'.blvl)*8)))/10000)	coldmaxdam		(skill('Rathmas Chosen'.blvl)==0) ? (((edmx*(100+(stat('item_desc_breaker'.accr)*15)))/100)+2) : (((edmx*(100+(stat('item_desc_breaker'.accr)*15))*(120+(skill('Rathmas Chosen'.blvl)*8)))/10000)+2)	lightmindam		(skill('Rathmas Chosen'.blvl)==0) ? ((edmx*(100+(stat('item_desc_breaker'.accr)*15)))/100) : ((edmx*(100+(stat('item_desc_breaker'.accr)*15))*(120+(skill('Rathmas Chosen'.blvl)*8)))/10000)	lightmaxdam		(skill('Rathmas Chosen'.blvl)==0) ? (((edmx*(100+(stat('item_desc_breaker'.accr)*15)))/100)+2) : (((edmx*(100+(stat('item_desc_breaker'.accr)*15))*(120+(skill('Rathmas Chosen'.blvl)*8)))/10000)+2)																								6																								4	4	6	9	13	15								0																																											none										xx				0	0	0		1	99			1	1	8	1				1																			1																																																								1											1					0
Unused739	739			Unused																																																																																																																																																																																																																																																																									0
Unused740	740			Unused																																																																																																																																																																																																																																																																									0
Totemic Aura Elemental	741			Summon Skill		65															1	73731	totemicvoodoo	totemicvoodoo		60	50	passive_fire_mastery		ln12	passive_ltng_mastery		ln12	passive_cold_mastery		ln12	passive_pois_mastery		ln12														10	dmg % elem	2	dmg % elem per level													8																																					0																																											none										xx				0	0	0		1	99			1	1	8	1				1																			1																																																								1											1					0
